"TIME","CH1","CH2","CH3","CH4","MATH"
-9.782e-04,0.17,-0.012,-0.214,-0.072,1
-9.780e-04,0.17,-0.01,-0.218,-0.084,1
-9.778e-04,0.171,-0.012,-0.22,-0.072,1
-9.776e-04,0.172,-0.012,-0.218,-0.08,1
-9.774e-04,0.17,0,-0.216,-0.088,1
-9.772e-04,0.17,-0.008,-0.214,-0.076,1
-9.770e-04,0.169,-0.014,-0.226,-0.088,1
-9.768e-04,0.169,-0.01,-0.21,-0.08,1
-9.766e-04,0.174,-0.006,-0.216,-0.076,1
-9.764e-04,0.172,-0.014,-0.214,-0.08,1
-9.762e-04,0.174,-0.014,-0.214,-0.08,1
-9.760e-04,0.169,-0.014,-0.216,-0.072,1
-9.758e-04,0.172,-0.008,-0.216,-0.08,1
-9.756e-04,0.17,-0.012,-0.218,-0.072,1
-9.754e-04,0.169,-0.01,-0.212,-0.068,1
-9.752e-04,0.172,-0.018,-0.214,-0.08,1
-9.750e-04,0.167,-0.004,-0.216,-0.068,1
-9.748e-04,0.17,-0.014,-0.214,-0.076,1
-9.746e-04,0.171,-0.006,-0.216,-0.088,1
-9.744e-04,0.165,-0.006,-0.216,-0.076,1
-9.742e-04,0.172,-0.01,-0.214,-0.088,1
-9.740e-04,0.166,-0.008,-0.226,-0.084,1
-9.738e-04,0.169,-0.006,-0.222,-0.08,1
-9.736e-04,0.17,-0.018,-0.22,-0.084,1
-9.734e-04,0.167,-0.008,-0.216,-0.084,1
-9.732e-04,0.168,-0.014,-0.216,-0.072,1
-9.730e-04,0.168,-0.014,-0.22,-0.068,1
-9.728e-04,0.171,-0.014,-0.212,-0.072,1
-9.726e-04,0.167,-0.006,-0.216,-0.08,1
-9.724e-04,0.171,-0.01,-0.218,-0.084,1
-9.722e-04,0.171,-0.012,-0.222,-0.068,1
-9.720e-04,0.169,-0.012,-0.21,-0.072,1
-9.718e-04,0.168,-0.008,-0.218,-0.072,1
-9.716e-04,0.169,-0.008,-0.218,-0.08,1
-9.714e-04,0.169,-0.008,-0.212,-0.072,1
-9.712e-04,0.17,-0.01,-0.222,-0.08,1
-9.710e-04,0.171,-0.014,-0.22,-0.084,1
-9.708e-04,0.169,-0.008,-0.216,-0.064,1
-9.706e-04,0.17,-0.012,-0.216,-0.072,1
-9.704e-04,0.17,-0.01,-0.206,-0.072,1
-9.702e-04,0.173,-0.006,-0.22,-0.08,1
-9.700e-04,0.168,-0.006,-0.208,-0.088,1
-9.698e-04,0.169,-0.01,-0.216,-0.084,1
-9.696e-04,0.17,-0.002,-0.212,-0.084,1
-9.694e-04,0.167,-0.01,-0.216,-0.076,1
-9.692e-04,0.17,-0.01,-0.22,-0.08,1
-9.690e-04,0.17,-0.014,-0.218,-0.08,1
-9.688e-04,0.17,-0.01,-0.222,-0.08,1
-9.686e-04,0.168,-0.008,-0.218,-0.084,1
-9.684e-04,0.171,-0.01,-0.222,-0.076,1
-9.682e-04,0.169,-0.01,-0.216,-0.088,1
-9.680e-04,0.169,-0.008,-0.216,-0.096,1
-9.678e-04,0.169,-0.016,-0.214,-0.08,1
-9.676e-04,0.172,-0.006,-0.212,-0.064,1
-9.674e-04,0.168,-0.012,-0.212,-0.088,1
-9.672e-04,0.17,-0.022,-0.216,-0.08,1
-9.670e-04,0.172,-0.01,-0.206,-0.088,1
-9.668e-04,0.172,-0.01,-0.222,-0.08,1
-9.666e-04,0.172,-0.014,-0.21,-0.084,1
-9.664e-04,0.171,-0.004,-0.214,-0.088,1
-9.662e-04,0.17,-0.008,-0.216,-0.068,1
-9.660e-04,0.17,-0.014,-0.212,-0.076,1
-9.658e-04,0.174,-0.006,-0.214,-0.076,1
-9.656e-04,0.173,-0.006,-0.21,-0.068,1
-9.654e-04,0.172,-0.008,-0.22,-0.088,1
-9.652e-04,0.171,-0.01,-0.216,-0.08,1
-9.650e-04,0.17,-0.006,-0.218,-0.072,1
-9.648e-04,0.171,-0.012,-0.214,-0.072,1
-9.646e-04,0.169,-0.01,-0.22,-0.08,1
-9.644e-04,0.172,-0.008,-0.226,-0.084,1
-9.642e-04,0.171,-0.002,-0.21,-0.076,1
-9.640e-04,0.172,-0.014,-0.214,-0.08,1
-9.638e-04,0.167,-0.01,-0.214,-0.072,1
-9.636e-04,0.17,-0.014,-0.22,-0.072,1
-9.634e-04,0.169,-0.006,-0.22,-0.084,1
-9.632e-04,0.168,-0.01,-0.22,-0.076,1
-9.630e-04,0.167,-0.02,-0.216,-0.08,1
-9.628e-04,0.17,-0.008,-0.21,-0.068,1
-9.626e-04,0.17,-0.01,-0.21,-0.08,1
-9.624e-04,0.169,-0.006,-0.218,-0.084,1
-9.622e-04,0.168,-0.002,-0.216,-0.08,1
-9.620e-04,0.168,-0.008,-0.22,-0.08,1
-9.618e-04,0.167,-0.008,-0.216,-0.084,1
-9.616e-04,0.169,-0.012,-0.216,-0.072,1
