"TIME","CH1","CH2","CH3","CH4","MATH"
-1.9548e-04,0.225,0.002,0.228,-0.044,1
-1.9544e-04,0.224,0,0.232,-0.052,1
-1.9540e-04,0.222,-0.002,0.23,-0.044,1
-1.9536e-04,0.223,0,0.232,-0.044,1
-1.9532e-04,0.223,0.008,0.228,-0.06,1
-1.9528e-04,0.223,-0.002,0.226,-0.06,1
-1.9524e-04,0.225,0,0.232,-0.056,1
-1.9520e-04,0.222,-0.004,0.228,-0.06,1
-1.9516e-04,0.224,-0.002,0.23,-0.048,1
-1.9512e-04,0.223,0.002,0.23,-0.048,1
-1.9508e-04,0.226,0.006,0.234,-0.056,1
-1.9504e-04,0.225,0,0.232,-0.036,1
-1.9500e-04,0.222,-0.002,0.232,-0.04,1
-1.9496e-04,0.224,0,0.232,-0.052,1
-1.9492e-04,0.222,0.004,0.232,-0.04,1
-1.9488e-04,0.225,0,0.238,-0.052,1
-1.9484e-04,0.224,0.002,0.228,-0.048,1
-1.9480e-04,0.223,0.008,0.228,-0.048,1
-1.9476e-04,0.223,0.002,0.226,-0.052,1
-1.9472e-04,0.221,0.006,0.224,-0.04,1
-1.9468e-04,0.224,0.004,0.228,-0.052,1
-1.9464e-04,0.223,0.002,0.228,-0.052,1
-1.9460e-04,0.222,0.008,0.228,-0.048,1
-1.9456e-04,0.223,0.002,0.23,-0.044,1
-1.9452e-04,0.223,0,0.24,-0.056,1
-1.9448e-04,0.22,-0.002,0.23,-0.06,1
-1.9444e-04,0.225,-0.002,0.22,-0.068,1
-1.9440e-04,0.224,0.002,0.232,-0.056,1
-1.9436e-04,0.223,-0.004,0.236,-0.04,1
-1.9432e-04,0.225,0.006,0.24,-0.048,1
-1.9428e-04,0.225,0.004,0.232,-0.044,1
-1.9424e-04,0.222,0.002,0.232,-0.048,1
-1.9420e-04,0.226,0,0.232,-0.052,1
-1.9416e-04,0.223,-0.006,0.232,-0.048,1
-1.9412e-04,0.223,0.002,0.23,-0.044,1
-1.9408e-04,0.224,0.004,0.226,-0.044,1
-1.9404e-04,0.225,0.002,0.232,-0.056,1
-1.9400e-04,0.223,0,0.226,-0.048,1
-1.9396e-04,0.221,0.006,0.226,-0.036,1
-1.9392e-04,0.223,-0.006,0.226,-0.052,1
-1.9388e-04,0.223,-0.002,0.236,-0.048,1
-1.9384e-04,0.222,0,0.22,-0.044,1
-1.9380e-04,0.223,0.004,0.232,-0.052,1
-1.9376e-04,0.221,0.008,0.232,-0.044,1
-1.9372e-04,0.223,0.006,0.226,-0.056,1
-1.9368e-04,0.226,-0.004,0.228,-0.064,1
-1.9364e-04,0.22,0,0.23,-0.052,1
-1.9360e-04,0.223,0,0.224,-0.06,1
-1.9356e-04,0.223,0.002,0.23,-0.048,1
-1.9352e-04,0.223,0,0.232,-0.04,1
-1.9348e-04,0.222,0.004,0.234,-0.048,1
-1.9344e-04,0.224,0,0.238,-0.048,1
-1.9340e-04,0.224,0.004,0.238,-0.052,1
-1.9336e-04,0.226,0.002,0.228,-0.064,1
-1.9332e-04,0.224,0,0.232,-0.06,1
-1.9328e-04,0.224,0.002,0.228,-0.04,1
-1.9324e-04,0.223,-0.006,0.232,-0.032,1
-1.9320e-04,0.222,0.006,0.232,-0.048,1
-1.9316e-04,0.221,-0.004,0.234,-0.052,1
-1.9312e-04,0.221,-0.002,0.236,-0.036,1
-1.9308e-04,0.221,0.006,0.228,-0.048,1
-1.9304e-04,0.221,0.002,0.222,-0.048,1
-1.9300e-04,0.224,0,0.23,-0.056,1
-1.9296e-04,0.227,-0.004,0.226,-0.032,1
-1.9292e-04,0.222,0.006,0.23,-0.048,1
-1.9288e-04,0.223,-0.002,0.226,-0.056,1
-1.9284e-04,0.225,0.004,0.234,-0.048,1
-1.9280e-04,0.225,-0.002,0.232,-0.052,1
-1.9276e-04,0.224,0,0.228,-0.048,1
-1.9272e-04,0.225,-0.004,0.228,-0.052,1
-1.9268e-04,0.223,-0.004,0.232,-0.044,1
-1.9264e-04,0.225,0.004,0.238,-0.044,1
-1.9260e-04,0.223,-0.006,0.23,-0.048,1
-1.9256e-04,0.223,-0.002,0.24,-0.036,1
-1.9252e-04,0.222,0.004,0.228,-0.048,1
-1.9248e-04,0.222,0.006,0.23,-0.052,1
-1.9244e-04,0.225,-0.002,0.228,-0.048,1
-1.9240e-04,0.222,-0.004,0.236,-0.056,1
-1.9236e-04,0.222,0.008,0.232,-0.048,1
-1.9232e-04,0.223,0,0.228,-0.064,1
-1.9228e-04,0.224,0.002,0.228,-0.06,1
-1.9224e-04,0.224,-0.006,0.232,-0.052,1
-1.9220e-04,0.222,0.002,0.24,-0.048,1
-1.9216e-04,0.224,0,0.228,-0.032,1
-1.9212e-04,0.223,0.004,0.23,-0.048,1
-1.9208e-04,0.223,0,0.234,-0.048,1
-1.9204e-04,0.225,0.004,0.222,-0.06,1
-1.9200e-04,0.222,0.004,0.232,-0.052,1
-1.9196e-04,0.225,0.004,0.23,-0.04,1
-1.9192e-04,0.225,0,0.232,-0.052,1
-1.9188e-04,0.224,0.006,0.232,-0.06,1
